"subject","difficulty","curve","question_number","action","frustrate"
59,"easy","non","4",3,NA
60,"diff","com","1",1,3
60,"diff","com","2",1,NA
60,"diff","com","3",1,NA
60,"diff","com","4",1,NA
60,"diff","non","1",1,2
60,"diff","non","2",1,NA
60,"diff","non","3",1,NA
60,"diff","non","4",1,NA
60,"easy","com","1",1,2
60,"easy","com","2",1,NA
60,"easy","com","3",1,NA
60,"easy","com","4",1,NA
60,"easy","non","1",1,2
60,"easy","non","2",1,NA
60,"easy","non","3",1,NA
60,"easy","non","4",1,NA
61,"diff","com","1",5,6
61,"diff","com","2",5,NA
61,"diff","com","3",6,NA
61,"diff","com","4",4,NA
61,"diff","non","1",4,5
61,"diff","non","2",3,NA
61,"diff","non","3",5,NA
61,"diff","non","4",4,NA
61,"easy","com","1",4,4
61,"easy","com","2",3,NA
61,"easy","com","3",5,NA
61,"easy","com","4",4,NA
61,"easy","non","1",3,3
61,"easy","non","2",3,NA
61,"easy","non","3",3,NA
61,"easy","non","4",3,NA
